Date,Low,High,Open,Close,Volumefrom,Volumeto
2020-03-10,7728.01,8149.0,7929.87,7894.56,86783.44,689700153.45
2020-03-11,7590.0,7980.0,7894.56,7934.52,79942.41,624465167.36
2020-03-12,4410.0,7966.17,7934.52,4800.0,261505.61,1628590104.22
2020-03-13,3782.13,5955.0,4800.0,5578.6,402201.67,2063819540.64
2020-03-14,5055.13,5640.52,5578.6,5172.06,136910.14,736651880.92
2020-03-15,5093.1,5940.0,5172.06,5361.3,139916.15,753755706.43
2020-03-16,4442.12,5365.42,5361.3,5028.97,227276.92,1113690309.1
2020-03-17,4921.45,5525.0,5028.97,5312.64,150089.93,793147908.27
2020-03-18,5009.37,5436.17,5312.64,5393.04,137127.63,719748122.45
2020-03-19,5252.53,6400.0,5393.04,6162.37,199020.87,1164739707.51
2020-03-20,5670.0,6900.0,6162.37,6208.36,219298.33,1401734013.18
2020-03-21,5860.02,6456.98,6208.36,6186.98,128913.67,794962136.64
2020-03-22,5734.01,6407.87,6186.98,5816.19,119115.99,722895653.51
2020-03-23,5688.0,6600.0,5816.19,6467.31,164674.22,1015525672.07
2020-03-24,6371.33,6833.0,6467.31,6744.72,151138.01,1001890515.24
2020-03-25,6450.0,6957.96,6744.72,6677.43,132155.73,880250736.91
2020-03-26,6510.0,6780.0,6677.43,6737.36,83026.56,552537189.48
2020-03-27,6261.0,6842.59,6737.36,6359.11,82914.97,551326113.86
2020-03-28,6024.0,6360.0,6359.11,6236.65,93159.69,577986706.13
2020-03-29,5866.56,6266.0,6236.65,5881.42,63311.63,383707122.5
2020-03-30,5857.76,6599.0,5881.42,6394.38,118889.55,747569726.45
2020-03-31,6321.4,6523.23,6394.38,6410.44,72337.6,465780496.62
2020-04-01,6150.11,6679.94,6410.44,6642.92,97500.75,618527468.83
2020-04-02,6551.0,7198.0,6642.92,6794.09,149299.91,1014494762.44
2020-04-03,6602.1,7048.0,6794.09,6734.1,104080.28,710254017.1
2020-04-04,6650.01,6990.41,6734.1,6856.99,71387.02,484271784.72
2020-04-05,6677.52,6895.54,6856.99,6772.78,49685.36,337062083.0
2020-04-06,6765.0,7355.14,6772.78,7329.9,118052.0,837357664.65
